Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Extreme_Class,Eval_Payload_Key,Model,Samples,nMAE_%,nRMSE_%,WD_%,R_p<0.05_%
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,LMT,8.0,31.8268,35.7095,26.932,25.9259
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,Proposed-A,8.0,30.3439,33.6491,27.2859,38.4259
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class2,Overall_Average,Extreme-FedAvg,6.6667,26.3368,29.1686,26.1817,43.9286
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class2,Overall_Average,LMT,6.6667,26.4471,29.251,26.2612,50.5952
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class2,Overall_Average,Proposed-A,6.6667,26.3854,29.1103,26.2054,50.5952
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class3,Overall_Average,Extreme-FedAvg,4.3333,33.7444,37.4964,27.3213,30.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class3,Overall_Average,LMT,4.3333,34.3605,38.2457,27.6845,16.6667
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class3,Overall_Average,Proposed-A,4.3333,33.574,37.3187,27.1358,30.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class4,Overall_Average,Extreme-FedAvg,12.0,22.2161,26.5941,21.4216,24.6154
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class4,Overall_Average,LMT,12.0,22.3496,26.7504,21.8247,24.6154
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class4,Overall_Average,Proposed-A,12.0,22.1283,26.4891,21.2664,24.6154
