Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Extreme_Class,Eval_Payload_Key,Model,Samples,nMAE_%,nRMSE_%,WD_%,R_p<0.05_%
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,LMT,8.0,78.5583,81.5036,78.5181,96.2963
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,Proposed-A,8.0,78.4775,81.4269,78.4335,96.2963
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class2,Overall_Average,Extreme-FedAvg,6.6667,28.4824,31.5073,28.2599,66.3095
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class2,Overall_Average,LMT,6.6667,28.533,31.5526,28.3179,66.3095
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class2,Overall_Average,Proposed-A,6.6667,28.4737,31.5009,28.2496,66.3095
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class3,Overall_Average,Extreme-FedAvg,4.3333,68.3999,73.4121,68.2123,75.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class3,Overall_Average,LMT,4.3333,68.4705,73.4877,68.2877,75.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class3,Overall_Average,Proposed-A,4.3333,68.3999,73.4101,68.2114,75.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class4,Overall_Average,Extreme-FedAvg,12.0,32.3775,38.1232,31.878,59.2308
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class4,Overall_Average,LMT,12.0,32.4323,38.1818,31.9615,59.2308
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class4,Overall_Average,Proposed-A,12.0,32.3702,38.1128,31.8774,59.2308
