Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Model,HighWind_nMAE_%,HighWind_nRMSE_%,HighWind_WD_%,Training_duration_s,R_p<0.05_%
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,59,FedTL-FT,29.852,34.8574,25.0587,,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,60,FedTL-FT,42.2105,48.2166,36.3285,,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,62,FedTL-FT,28.5767,32.6632,25.3218,,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,63,FedTL-FT,43.9909,51.1177,33.5926,,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_Average,FedTL-FT,36.1575,41.7137,30.0754,,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_SampleWeighted,FedTL-FT,36.1575,41.7137,30.0754,,0.0
