Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Extreme_Class,Eval_Payload_Key,Model,Samples,nMAE_%,nRMSE_%,WD_%,R_p<0.05_%
three_station_2h_6point_protocol,2,6,12,60,Extreme_Weather_Class4,p_test_extre_class4,Proposed-A,10.0,21.8501,25.4727,19.9309,10.0
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,Extreme-FedAvg,8.0,22.5588,26.0064,18.9114,27.3148
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,LMT,8.0,24.1618,28.0094,18.854,0.0
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,Proposed-A,8.0,22.4733,26.022,18.6855,23.1481
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class2,Overall_Average,Extreme-FedAvg,6.6667,26.4108,28.9976,26.2127,50.5952
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class2,Overall_Average,LMT,6.6667,26.6234,29.2435,26.3831,43.9286
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class2,Overall_Average,Proposed-A,6.6667,26.6907,29.2648,26.4838,43.9286
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class3,Overall_Average,Extreme-FedAvg,4.3333,34.181,37.4956,27.8766,36.6667
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class3,Overall_Average,LMT,4.3333,34.6638,38.0443,28.2526,36.6667
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class3,Overall_Average,Proposed-A,4.3333,34.6799,37.8559,28.3933,36.6667
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class4,Overall_Average,Extreme-FedAvg,12.0,24.1924,28.0119,21.5163,31.5384
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class4,Overall_Average,LMT,12.0,24.3329,28.0001,21.8052,31.5384
three_station_2h_6point_protocol,2,6,12,Overall_Average,Extreme_Weather_Class4,Overall_Average,Proposed-A,12.0,24.222,28.094,21.5682,31.5384
