Station,Model,HighWind_nMAE_%,HighWind_nRMSE_%,HighWind_WD_%,HighTemperature_nMAE_%,HighTemperature_nRMSE_%,HighTemperature_WD_%,ColdWave_nMAE_%,ColdWave_nRMSE_%,ColdWave_WD_%,Frost_nMAE_%,Frost_nRMSE_%,Frost_WD_%,Training_duration_s,R_p<0.05_%
58,Proposed,41.6119,44.9386,39.6854,16.0721,19.0573,13.335,39.9955,42.7174,34.2866,16.2759,18.8261,15.6239,625.21,77.5
58,Local_Meta_Transfer,41.58,48.3246,38.5587,16.3088,19.337,13.3011,42.7886,46.5469,35.5521,15.5873,18.6176,14.4038,374.92,81.25
58,Transfer_Learning,43.9254,53.2959,39.0044,15.4764,20.624,10.7449,44.3344,50.3502,35.2405,17.6146,22.8435,15.107,267.65,67.5
58,Meta_Learning,46.6591,48.5425,45.9273,20.1729,22.1377,17.4411,46.1889,50.2901,44.4255,19.1483,21.5729,17.8555,124.18,78.75
58,Local_PreTraining,44.4328,52.6585,40.946,19.838,25.6037,13.9483,47.192,51.4726,39.2271,24.3083,32.0224,21.0848,253.39,73.75
59,Proposed,33.7567,38.4717,29.0987,16.8508,19.6451,14.3,27.0429,31.0147,24.3831,22.651,25.4287,20.7716,625.21,68.1818
59,Local_Meta_Transfer,37.302,44.3525,30.8781,17.4432,20.5229,15.1966,32.3779,40.1735,31.0184,21.9597,25.4658,19.9001,374.92,68.1818
59,Transfer_Learning,42.7241,51.2588,35.0839,18.9479,24.0931,15.8768,38.3153,45.9152,36.4562,22.2283,27.5614,19.3611,267.65,60.6061
59,Meta_Learning,45.6316,48.4927,44.5557,23.1862,26.4206,19.9346,48.8378,52.5659,48.0665,26.2836,29.4685,22.5202,124.18,65.1515
59,Local_PreTraining,45.5941,52.9615,40.0847,26.3769,34.5147,22.0573,43.3872,50.7609,42.6691,26.5042,33.8294,22.5606,253.39,65.1515
60,Proposed,38.0557,43.264,33.104,20.9625,24.0269,18.7283,37.7439,41.4762,33.5147,22.343,24.9472,21.2982,625.21,75.3623
60,Local_Meta_Transfer,40.3491,47.0914,30.4266,20.4811,23.9967,17.8268,43.7731,50.3876,39.7445,20.1163,23.8279,18.4612,374.92,65.2174
60,Transfer_Learning,47.0585,53.7963,35.0973,22.0537,26.8168,18.2488,47.0174,54.8389,41.5046,22.7142,28.7437,19.9199,267.65,47.8261
60,Meta_Learning,47.9945,50.7578,46.0491,24.5936,27.0945,19.9561,51.6397,53.3447,50.8873,24.379,27.4613,22.3868,124.18,73.913
60,Local_PreTraining,46.5389,54.2915,37.0661,26.1841,32.8735,22.5051,48.1017,55.9369,44.695,29.7806,38.8359,27.0466,253.39,66.6666
Overall_Average,Proposed,37.8081,42.2248,33.9627,17.9618,20.9098,15.4544,34.9274,38.4028,30.7281,20.4233,23.0673,19.2312,625.21,73.1522
Overall_Average,Local_Meta_Transfer,39.7437,46.5895,33.2878,18.0777,21.2855,15.4415,39.6465,45.7027,35.4383,19.2211,22.6371,17.5884,374.92,70.9399
Overall_Average,Transfer_Learning,44.5693,52.7837,36.3952,18.826,23.8446,14.9568,43.2224,50.3681,37.7338,20.8524,26.3829,18.1293,267.65,58.1424
Overall_Average,Meta_Learning,46.7617,49.2643,45.5107,22.6509,25.2176,19.1106,48.8888,52.0669,47.7931,23.2703,26.1676,20.9208,124.18,72.167
Overall_Average,Local_PreTraining,45.5219,53.3038,39.3656,24.133,30.9973,19.5036,46.227,52.7235,42.1971,26.8644,34.8959,23.564,253.39,67.786
