Model,Station,Extreme_Class_Index,Extreme_Class,FT_Epoch,Adapt_Windows,Val_Windows,All_Support_Windows,Test_Windows,Adapt_MSE,Val_MSE,SupportAll_MSE,Test_MSE,Test_nMAE_%,Test_nRMSE_%,Test_WD_%,Checkpoint_Path
FedTL-FT,60,0,HighWind,75,1,1,2,2,0.12251858413219452,0.13407018780708313,0.12829437851905823,0.22841618955135345,41.959649324417114,47.79275059700012,35.89631915092468,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station60_extreme0_fedtl_ft_epoch75.pth
FedTL-FT,60,0,HighWind,100,1,1,2,2,0.12256508320569992,0.13312461972236633,0.12784485518932343,0.22546479105949402,41.68221354484558,47.48293161392212,35.61887741088867,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station60_extreme0_fedtl_ft_epoch100.pth
FedTL-FT,62,0,HighWind,0,1,1,2,2,0.2538425028324127,0.19271695613861084,0.22327971458435059,0.13632884621620178,28.900572657585144,33.2391619682312,25.378167629241943,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station62_extreme0_fedtl_ft_epoch0.pth
FedTL-FT,62,0,HighWind,1,1,1,2,2,0.25358378887176514,0.19247224926948547,0.2230280339717865,0.1360321044921875,28.860121965408325,33.20223391056061,25.350657105445862,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station62_extreme0_fedtl_ft_epoch1.pth
FedTL-FT,62,0,HighWind,2,1,1,2,2,0.25327667593955994,0.1920795887708664,0.22267812490463257,0.13597053289413452,28.854072093963623,33.19098353385925,25.340983271598816,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station62_extreme0_fedtl_ft_epoch2.pth
FedTL-FT,62,0,HighWind,5,1,1,2,2,0.2528476417064667,0.19110903143882751,0.2219783067703247,0.1355288326740265,28.78909707069397,33.125489950180054,25.309333205223083,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station62_extreme0_fedtl_ft_epoch5.pth
FedTL-FT,62,0,HighWind,10,1,1,2,2,0.25165244936943054,0.18972931802272797,0.22069089114665985,0.13496455550193787,28.741824626922607,33.054229617118835,25.22730529308319,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station62_extreme0_fedtl_ft_epoch10.pth
FedTL-FT,62,0,HighWind,20,1,1,2,2,0.24952757358551025,0.18718251585960388,0.21835504472255707,0.13373011350631714,28.591439127922058,32.890960574150085,25.07525086402893,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station62_extreme0_fedtl_ft_epoch20.pth
FedTL-FT,62,0,HighWind,30,1,1,2,2,0.24750523269176483,0.18523871898651123,0.21637199819087982,0.13297602534294128,28.503435850143433,32.80948996543884,25.12410879135132,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station62_extreme0_fedtl_ft_epoch30.pth
FedTL-FT,62,0,HighWind,50,1,1,2,2,0.2439209669828415,0.18128415942192078,0.21260258555412292,0.13151603937149048,28.58123779296875,32.672446966171265,25.320181250572205,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station62_extreme0_fedtl_ft_epoch50.pth
FedTL-FT,62,0,HighWind,75,1,1,2,2,0.24082627892494202,0.17675137519836426,0.20878884196281433,0.13030457496643066,29.240530729293823,32.62093663215637,25.9815514087677,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station62_extreme0_fedtl_ft_epoch75.pth
FedTL-FT,62,0,HighWind,100,1,1,2,2,0.2383202612400055,0.17373184859752655,0.20602604746818542,0.1298634111881256,29.776009917259216,32.70780146121979,26.49758756160736,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station62_extreme0_fedtl_ft_epoch100.pth
FedTL-FT,63,0,HighWind,0,2,1,3,2,0.15919655561447144,0.12803111970424652,0.1488080769777298,0.2703455686569214,45.28496861457825,51.82866454124451,35.10537147521973,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station63_extreme0_fedtl_ft_epoch0.pth
FedTL-FT,63,0,HighWind,1,2,1,3,2,0.15901713073253632,0.1283489465713501,0.14879438281059265,0.27025991678237915,45.26355564594269,51.819080114364624,35.056766867637634,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station63_extreme0_fedtl_ft_epoch1.pth
FedTL-FT,63,0,HighWind,2,2,1,3,2,0.15889599919319153,0.12829014658927917,0.14869403839111328,0.27001672983169556,45.22473216056824,51.79445743560791,34.993427991867065,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station63_extreme0_fedtl_ft_epoch2.pth
FedTL-FT,63,0,HighWind,5,2,1,3,2,0.15874382853507996,0.12739025056362152,0.14829261600971222,0.2695083022117615,45.14005482196808,51.74137353897095,34.84339714050293,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station63_extreme0_fedtl_ft_epoch5.pth
FedTL-FT,63,0,HighWind,10,2,1,3,2,0.15845218300819397,0.12741105258464813,0.14810512959957123,0.2686976194381714,44.99866962432861,51.6573965549469,34.600335359573364,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station63_extreme0_fedtl_ft_epoch10.pth
FedTL-FT,63,0,HighWind,20,2,1,3,2,0.15781453251838684,0.12574853003025055,0.14712585508823395,0.26696959137916565,44.70826983451843,51.47939920425415,34.309935569763184,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station63_extreme0_fedtl_ft_epoch20.pth
FedTL-FT,63,0,HighWind,30,2,1,3,2,0.15744343400001526,0.12660588324069977,0.1471642404794693,0.26573166251182556,44.45456564426422,51.348841190338135,34.05623435974121,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station63_extreme0_fedtl_ft_epoch30.pth
FedTL-FT,63,0,HighWind,50,2,1,3,2,0.15675088763237,0.12547707557678223,0.14632628858089447,0.2635454535484314,43.99176239967346,51.11624598503113,33.59342813491821,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station63_extreme0_fedtl_ft_epoch50.pth
FedTL-FT,63,0,HighWind,75,2,1,3,2,0.15596826374530792,0.12485666573047638,0.14559772610664368,0.2613254487514496,43.47667694091797,50.8769154548645,33.0783486366272,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station63_extreme0_fedtl_ft_epoch75.pth
FedTL-FT,63,0,HighWind,100,2,1,3,2,0.15538254380226135,0.12586450576782227,0.145543172955513,0.2592924237251282,43.06589663028717,50.66264867782593,32.66756236553192,artifacts/high_wind_spring_noft_four_client/ablation-fedtl-fedavg-ft-sweep-1k/models/model_fore_station63_extreme0_fedtl_ft_epoch100.pth
