Station,Model,HighWind_nMAE_%,HighWind_nRMSE_%,HighWind_WD_%,HighTemperature_nMAE_%,HighTemperature_nRMSE_%,HighTemperature_WD_%,ColdWave_nMAE_%,ColdWave_nRMSE_%,ColdWave_WD_%,Frost_nMAE_%,Frost_nRMSE_%,Frost_WD_%,Training_duration_s,R_p<0.05_%
58,Proposed,42.1956,46.0674,39.7745,15.1455,19.0549,12.0772,39.5802,42.7794,33.2175,15.4139,18.1321,14.547,624.89,77.5
58,Local_Meta_Transfer,42.366,47.7139,39.6582,16.6133,19.8722,13.9147,45.0431,48.6838,36.9121,14.9076,17.6902,14.0206,382.15,77.5
58,Transfer_Learning,42.8932,51.7229,38.345,16.1665,21.5409,11.5303,45.3133,51.9956,35.109,17.4362,22.5363,15.1334,272.98,70.0
58,Meta_Learning,45.7929,47.5934,45.1597,21.3355,23.3878,18.1597,45.2655,49.3536,43.3841,20.2205,22.633,18.9321,121.54,78.75
58,Local_PreTraining,44.2243,51.6093,40.5973,19.7576,26.4237,15.3748,47.9454,52.8127,38.9936,24.482,32.2181,21.5134,258.7,73.75
59,Proposed,35.3486,40.7991,30.5622,15.6836,18.9956,13.2171,28.6507,34.0833,26.8242,22.0711,25.0554,20.2413,624.89,69.697
59,Local_Meta_Transfer,38.2151,44.7065,33.084,16.9593,20.1243,14.0661,36.3533,41.8562,34.527,21.9592,25.463,19.501,382.15,69.697
59,Transfer_Learning,40.1643,48.833,32.5089,19.0621,23.6016,15.2371,36.0535,43.5739,33.4337,22.256,26.9701,19.1069,272.98,57.5758
59,Meta_Learning,46.2977,49.1673,45.3184,22.9535,25.7708,19.7485,50.1377,53.8305,49.2251,26.3654,29.6327,22.3134,121.54,63.6364
59,Local_PreTraining,44.3897,51.1431,40.1207,25.8517,33.7867,21.3789,44.0125,49.7837,42.705,26.5149,32.8021,22.3735,258.7,72.7273
60,Proposed,38.6017,43.9764,31.7923,21.1141,24.9525,18.9364,37.8688,43.1155,33.3257,20.6811,23.7354,19.5586,624.89,71.0145
60,Local_Meta_Transfer,40.9074,48.1144,31.3579,20.3458,23.9017,17.9784,43.6882,50.8009,40.3454,19.9347,23.4261,18.1946,382.15,65.2174
60,Transfer_Learning,45.8814,53.292,33.7374,21.9081,26.4811,18.6514,45.5128,54.1966,39.8898,23.332,29.1858,20.4111,272.98,53.6232
60,Meta_Learning,45.4727,48.2445,43.1101,24.7196,27.7133,20.4989,49.4619,51.3342,48.4661,26.303,29.4938,23.9837,121.54,72.4638
60,Local_PreTraining,45.0638,53.4859,35.4517,26.5139,33.5008,23.357,46.4287,55.0056,42.9875,31.4418,40.4425,28.5651,258.7,66.6667
Overall_Average,Proposed,38.7153,43.6143,34.043,17.3144,21.001,14.7436,35.3666,39.9927,31.1225,19.3887,22.3076,18.1156,624.89,72.242
Overall_Average,Local_Meta_Transfer,40.4962,46.8449,34.7,17.9728,21.2994,15.3197,41.6949,47.1136,37.2615,18.9338,22.1931,17.2387,382.15,69.8564
Overall_Average,Transfer_Learning,42.9796,51.2826,34.8638,19.0456,23.8745,15.1396,42.2932,49.922,36.1442,21.0081,26.2307,18.2171,272.98,59.5256
Overall_Average,Meta_Learning,45.8544,48.3351,44.5294,23.0029,25.624,19.469,48.2884,51.5061,47.0251,24.2963,27.2532,21.7431,121.54,71.096
Overall_Average,Local_PreTraining,44.5593,52.0794,38.7232,24.0411,31.2371,20.0369,46.1289,52.534,41.562,27.4796,35.1542,24.1507,258.7,70.1423
