Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Extreme_Class,Eval_Payload_Key,Model,Samples,nMAE_%,nRMSE_%,WD_%,R_p<0.05_%
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,62,Extreme_Weather_Class1,p_test_extre_class1,Target-Aware Selective Fed-Meta-NoFT,2.0,16.4006,21.249,16.324,50.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,62,Extreme_Weather_Class1,p_test_extre_class1,Target-Aware Selective Fed-Meta-NoFT + BiasCal,2.0,16.6234,21.1232,14.8886,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,63,Extreme_Weather_Class1,p_test_extre_class1,Pretrain,2.0,43.9287,48.5334,33.5304,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,63,Extreme_Weather_Class1,p_test_extre_class1,Local-Meta-NoFT,2.0,43.2846,47.4348,32.9687,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,63,Extreme_Weather_Class1,p_test_extre_class1,Target-Aware Pretrain,2.0,32.4255,33.4043,32.4255,100.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,63,Extreme_Weather_Class1,p_test_extre_class1,Target-Aware Meta-NoFT,2.0,23.1443,23.7435,22.8513,50.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,63,Extreme_Weather_Class1,p_test_extre_class1,Target-Aware Selective Fed-Meta-NoFT,2.0,19.7433,20.7089,19.125,50.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,63,Extreme_Weather_Class1,p_test_extre_class1,Target-Aware Selective Fed-Meta-NoFT + BiasCal,2.0,12.0639,14.9346,11.1279,0.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,Local-Meta-NoFT,2.0,36.1573,41.6614,31.314,37.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,Pretrain,2.0,35.755,41.6038,30.1907,12.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,Target-Aware Meta-NoFT,2.0,20.3581,22.0539,19.7265,62.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,Target-Aware Pretrain,2.0,31.2624,33.025,30.7352,75.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,Target-Aware Selective Fed-Meta-NoFT,2.0,17.3178,19.2504,16.2946,62.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,Target-Aware Selective Fed-Meta-NoFT + BiasCal,2.0,13.4085,15.8514,11.9646,37.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_SampleWeighted,Extreme_Weather_Class1,Overall_SampleWeighted,Local-Meta-NoFT,8.0,36.1573,41.6614,31.314,37.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_SampleWeighted,Extreme_Weather_Class1,Overall_SampleWeighted,Pretrain,8.0,35.755,41.6038,30.1907,12.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_SampleWeighted,Extreme_Weather_Class1,Overall_SampleWeighted,Target-Aware Meta-NoFT,8.0,20.3581,22.0539,19.7265,62.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_SampleWeighted,Extreme_Weather_Class1,Overall_SampleWeighted,Target-Aware Pretrain,8.0,31.2624,33.025,30.7352,75.0
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_SampleWeighted,Extreme_Weather_Class1,Overall_SampleWeighted,Target-Aware Selective Fed-Meta-NoFT,8.0,17.3178,19.2504,16.2946,62.5
four_client_2h_6point_high_wind_spring_noft_protocol,2,6,12,Overall_SampleWeighted,Extreme_Weather_Class1,Overall_SampleWeighted,Target-Aware Selective Fed-Meta-NoFT + BiasCal,8.0,13.4085,15.8514,11.9646,37.5
