Station,Proxy_Windows,Bias_Raw,Bias_Applied,Proxy_True_Mean,Proxy_Pred_Mean,Proxy_nMAE_%
59,10,0.08228882402181625,0.08228882402181625,0.887410044670105,0.805121123790741,13.529649376869202
60,10,0.08171113580465317,0.08171113580465317,0.8358232378959656,0.754112184047699,19.129115343093872
62,10,0.10663268715143204,0.10663268715143204,0.8838799595832825,0.7772473096847534,16.018186509609222
63,11,0.09596524387598038,0.09596524387598038,0.8354113698005676,0.7394461631774902,16.447000205516815
