Protocol,Sample_Interval_Hours,Window_Points,Window_Span_Hours,Station,Extreme_Class,Eval_Payload_Key,Model,Samples,nMAE_%,nRMSE_%,WD_%,R_p<0.05_%
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,9.0,80.8172,83.7373,80.8036,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,9.0,80.8278,83.7386,80.7892,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class2,p_test_extre_class2,LMT,5.0,19.7306,23.8895,19.0259,60.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,5.0,19.675,23.8328,18.9557,60.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,5.0,19.6823,23.8526,18.9584,60.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class3,p_test_extre_class3,LMT,4.0,55.3963,63.0213,55.1007,50.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,4.0,55.3528,62.9636,55.0471,50.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class3,p_test_extre_class3,Proposed-A,4.0,55.3371,62.9597,55.0173,50.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class4,p_test_extre_class4,LMT,13.0,24.602,29.7625,23.8779,30.7692
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class4,p_test_extre_class4,Extreme-FedAvg,13.0,24.5444,29.7137,23.7992,30.7692
six_station_2h_6point_phase_augmented_protocol,2,6,12,61,Extreme_Weather_Class4,p_test_extre_class4,Proposed-A,13.0,24.5481,29.7153,23.7822,30.7692
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class1,p_test_extre_class1,LMT,7.0,82.6539,83.8223,82.6539,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,7.0,82.5792,83.7431,82.5792,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,7.0,82.5662,83.7359,82.5662,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class2,p_test_extre_class2,LMT,7.0,33.3954,38.1247,33.3044,85.7143
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,7.0,33.315,38.058,33.2184,85.7143
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,7.0,33.3047,38.0273,33.201,85.7143
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class3,p_test_extre_class3,LMT,5.0,85.9849,87.4304,85.9849,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,5.0,85.9009,87.3493,85.9009,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class3,p_test_extre_class3,Proposed-A,5.0,85.9184,87.3735,85.9184,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class4,p_test_extre_class4,LMT,13.0,34.6889,41.183,34.4454,69.2308
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class4,p_test_extre_class4,Extreme-FedAvg,13.0,34.619,41.1155,34.362,69.2308
six_station_2h_6point_phase_augmented_protocol,2,6,12,62,Extreme_Weather_Class4,p_test_extre_class4,Proposed-A,13.0,34.6327,41.1306,34.3593,69.2308
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,Extreme_Weather_Class1,p_test_extre_class1,LMT,8.0,73.606,78.2659,73.38,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,Extreme_Weather_Class1,p_test_extre_class1,Extreme-FedAvg,8.0,73.5277,78.1902,73.295,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,Extreme_Weather_Class1,p_test_extre_class1,Proposed-A,8.0,73.5297,78.2025,73.2984,100.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,Extreme_Weather_Class2,p_test_extre_class2,LMT,8.0,39.3866,43.5807,39.2844,87.5
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,Extreme_Weather_Class2,p_test_extre_class2,Extreme-FedAvg,8.0,39.3064,43.5062,39.1997,87.5
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,Extreme_Weather_Class2,p_test_extre_class2,Proposed-A,8.0,39.3134,43.5115,39.2074,87.5
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,Extreme_Weather_Class3,p_test_extre_class3,LMT,4.0,68.524,75.6746,68.2213,75.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,Extreme_Weather_Class3,p_test_extre_class3,Extreme-FedAvg,4.0,68.4727,75.6035,68.1537,75.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,Extreme_Weather_Class3,p_test_extre_class3,Proposed-A,4.0,68.4676,75.6156,68.1299,75.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,Extreme_Weather_Class4,p_test_extre_class4,LMT,10.0,36.164,42.9715,35.8462,70.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,Extreme_Weather_Class4,p_test_extre_class4,Extreme-FedAvg,10.0,36.1036,42.9074,35.7711,70.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,63,Extreme_Weather_Class4,p_test_extre_class4,Proposed-A,10.0,36.1175,42.9281,35.7778,70.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,Extreme-FedAvg,8.0,78.727,81.6576,78.6626,98.1482
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,LMT,8.0,78.8045,81.7343,78.7457,98.1482
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class1,Overall_Average,Proposed-A,8.0,78.7271,81.6605,78.6591,98.1482
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class2,Overall_Average,Extreme-FedAvg,6.6667,29.6224,33.321,29.3581,72.0238
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class2,Overall_Average,LMT,6.6667,29.6931,33.3831,29.4384,72.0238
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class2,Overall_Average,Proposed-A,6.6667,29.6263,33.3262,29.3552,72.0238
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class3,Overall_Average,Extreme-FedAvg,4.3333,69.1597,74.3651,68.962,75.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class3,Overall_Average,LMT,4.3333,69.2174,74.4315,69.026,75.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class3,Overall_Average,Proposed-A,4.3333,69.1527,74.3652,68.9328,75.0
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class4,Overall_Average,Extreme-FedAvg,12.0,32.0684,38.0224,31.5978,57.9487
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class4,Overall_Average,LMT,12.0,32.1272,38.0785,31.6782,57.9487
six_station_2h_6point_phase_augmented_protocol,2,6,12,Overall_Average,Extreme_Weather_Class4,Overall_Average,Proposed-A,12.0,32.0687,38.0206,31.593,57.9487
